customer_id,payment_frequency,close_date,start_date,end_date,months_since_active,last_reply_date,plan_name,billings,average_monthly_revenue,advanced_api_access,api_rate_limit_increase,advanced_security
CUST0030,Monthly,06-14-2014,06-15-2014,09-01-2025,134,08-05-2025,Standard,$104,$0.78,0,0,0
CUST0031,Monthly,07-23-2014,07-24-2014,09-01-2025,133,08-05-2025,Standard,$30,$0.23,0,0,0
CUST0032,Monthly,07-23-2014,07-24-2014,09-01-2025,133,08-06-2025,Plus,"$3,215",$24.17,0,0,0
CUST0033,Monthly,07-18-2014,07-19-2014,04-30-2025,129,04-15-2025,Standard,$60,$0.47,0,0,0
CUST0034,Monthly,07-19-2014,07-20-2014,09-01-2025,133,08-06-2025,Pro,"$13,465",$101.24,0,0,0
CUST0035,Monthly,07-22-2014,07-23-2014,09-01-2025,133,08-06-2025,Plus,"$1,158",$8.71,0,0,0
CUST0036,Annually,08-15-2014,08-16-2014,09-01-2025,132,08-05-2025,Standard,"$1,408",$10.67,0,0,0
CUST0037,Annually,08-21-2014,08-22-2014,09-01-2025,132,08-05-2025,Plus,$75,$0.57,0,0,0
CUST0038,Monthly,08-24-2014,08-25-2014,09-01-2025,132,08-05-2025,Plus,"$1,573",$11.92,0,0,0
CUST0039,Monthly,08-14-2014,08-15-2014,09-01-2025,132,08-05-2025,Standard,$704,$5.33,0,0,0
CUST0040,Annually,09-25-2014,09-26-2014,09-01-2025,131,08-06-2025,Plus,$311,$2.37,0,0,0
CUST0041,Monthly,08-29-2014,08-30-2014,09-01-2025,132,08-05-2025,Standard,$100,$0.76,0,0,0
CUST0042,Monthly,11-29-2018,11-30-2018,09-01-2025,81,08-05-2025,Plus,$0,$0.00,0,0,0
CUST0043,Monthly,10-22-2014,10-23-2014,09-01-2025,130,08-05-2025,Plus,$117,$0.90,0,0,0
CUST0044,Monthly,09-26-2014,09-27-2014,09-01-2025,131,08-05-2025,Standard,$65,$0.50,0,0,0
CUST0045,Annually,10-12-2014,10-13-2014,09-01-2025,130,08-05-2025,Plus,$172,$1.32,0,0,0
CUST0046,Annually,11-26-2014,11-27-2014,09-01-2025,129,08-05-2025,Standard,$50,$0.39,0,0,0
CUST0047,Annually,11-14-2014,11-15-2014,09-01-2025,129,08-04-2025,Standard,$22,$0.17,0,0,0
CUST0048,Annually,12-07-2014,12-08-2014,09-01-2025,128,08-05-2025,Plus,$899,$7.02,0,0,0
CUST0049,Monthly,01-08-2015,01-09-2015,09-01-2025,127,08-05-2025,Plus,$50,$0.39,0,0,0
CUST0050,Annually,01-31-2015,02-01-2015,09-01-2025,127,08-05-2025,Plus,$424,$3.34,0,0,0
CUST0051,Monthly,12-20-2014,12-21-2014,09-01-2025,128,08-05-2025,Plus,$193,$1.51,0,0,0
CUST0052,Annually,01-21-2015,01-22-2015,09-01-2025,127,08-05-2025,Standard,$143,$1.13,0,0,0
CUST0053,Monthly,04-30-2015,05-01-2015,09-01-2025,124,08-05-2025,Pro,"$4,194",$33.82,0,0,0
CUST0054,Annually,04-14-2015,04-15-2015,09-01-2025,124,08-05-2025,Plus,"$1,891",$15.25,0,0,0
CUST0055,Monthly,05-13-2015,05-14-2015,09-01-2025,123,08-05-2025,Standard,$195,$1.59,0,0,0
CUST0056,Annually,02-04-2015,02-05-2015,09-01-2025,126,08-05-2025,Plus,$240,$1.90,0,0,0
CUST0057,Monthly,02-20-2015,02-21-2015,09-01-2025,126,08-05-2025,Plus,$165,$1.31,0,0,0
CUST0058,Monthly,03-09-2015,03-10-2015,09-01-2025,125,08-05-2025,Plus,$83,$0.66,0,0,0
CUST0059,Annually,02-26-2015,02-27-2015,09-01-2025,126,08-05-2025,Plus,$280,$2.22,0,0,0
CUST0060,Monthly,05-05-2015,05-06-2015,09-01-2025,123,06-04-2025,Free,$0,$0.00,0,0,0
CUST0061,Annually,04-11-2015,04-12-2015,09-01-2025,124,08-05-2025,Plus,"$4,278",$34.50,0,0,0
CUST0062,Monthly,06-20-2015,06-21-2015,09-01-2025,122,08-05-2025,Plus,$103,$0.84,0,0,0
CUST0063,Annually,07-03-2015,07-04-2015,09-01-2025,121,08-05-2025,Plus,$165,$1.36,0,0,0
CUST0064,Annually,05-21-2015,05-22-2015,09-01-2025,123,08-05-2025,Plus,$108,$0.88,0,0,0
CUST0065,Monthly,11-29-2018,11-30-2018,07-31-2025,80,07-05-2025,Free,$0,$0.00,0,0,0
CUST0066,Annually,06-02-2015,06-03-2015,09-01-2025,122,08-05-2025,Standard,$726,$5.95,0,0,0
CUST0067,Annually,06-07-2015,06-08-2015,09-01-2025,122,08-05-2025,Plus,$132,$1.08,0,0,0
CUST0068,Monthly,01-06-2016,01-07-2016,09-01-2025,115,08-05-2025,Plus,$173,$1.50,0,0,0
CUST0069,Annually,07-09-2015,07-10-2015,09-01-2025,121,08-05-2025,Plus,$229,$1.89,0,0,0
CUST0070,Monthly,09-02-2015,09-03-2015,09-01-2025,119,08-05-2025,Plus,$403,$3.39,0,0,0
CUST0071,Monthly,07-08-2015,07-09-2015,09-01-2025,121,08-06-2025,Plus,$843,$6.97,0,0,0
CUST0072,Annually,07-09-2015,07-10-2015,09-01-2025,121,08-05-2025,Pro,$849,$7.02,0,0,0
CUST0073,Monthly,07-29-2015,07-30-2015,09-01-2025,121,08-05-2025,Plus,$283,$2.34,0,0,0
CUST0074,Annually,07-29-2015,07-30-2015,09-01-2025,121,08-06-2025,Plus,$666,$5.50,0,0,0
CUST0075,Annually,08-17-2015,08-18-2015,09-01-2025,120,08-05-2025,Standard,$99,$0.83,0,0,0
CUST0076,Annually,09-06-2015,09-07-2015,09-01-2025,119,08-05-2025,Standard,$22,$0.18,0,0,0
CUST0077,Monthly,09-05-2015,09-06-2015,06-30-2025,117,06-18-2025,Standard,$33,$0.28,0,0,0
CUST0078,Monthly,11-29-2018,11-30-2018,09-01-2025,81,08-05-2025,Standard,$55,$0.68,0,0,0
CUST0079,Annually,09-09-2015,09-10-2015,09-01-2025,119,08-05-2025,Plus,$291,$2.45,0,0,0
CUST0080,Monthly,09-14-2015,09-15-2015,09-01-2025,119,08-05-2025,Plus,$243,$2.04,0,0,0
CUST0081,Annually,09-26-2015,09-27-2015,09-01-2025,119,08-05-2025,Plus,$149,$1.25,0,0,0
CUST0082,Monthly,11-29-2018,11-30-2018,09-01-2025,81,08-05-2025,Standard,$55,$0.68,0,0,0
CUST0083,Annually,09-25-2017,09-26-2017,09-01-2025,95,05-06-2025,Free,$0,$0.00,0,0,0
CUST0084,Annually,12-03-2015,12-04-2015,09-01-2025,116,08-05-2025,Plus,$327,$2.82,0,0,0
CUST0085,Monthly,01-25-2016,01-26-2016,09-01-2025,115,08-05-2025,Plus,$150,$1.30,0,0,0
CUST0086,Monthly,01-15-2016,01-16-2016,09-01-2025,115,08-05-2025,Standard,$65,$0.57,0,0,0
CUST0087,Annually,01-04-2016,01-05-2016,09-01-2025,115,08-05-2025,Plus,$417,$3.63,0,0,0
CUST0088,Annually,01-20-2016,01-21-2016,09-01-2025,115,08-05-2025,Standard,$50,$0.43,0,0,0
CUST0089,Annually,02-10-2016,02-11-2016,09-01-2025,114,08-05-2025,Plus,$337,$2.96,0,0,0
CUST0090,Monthly,03-03-2016,03-04-2016,09-01-2025,113,08-05-2025,Plus,$423,$3.74,0,0,0
CUST0091,Annually,05-04-2016,05-05-2016,09-01-2025,111,08-05-2025,Standard,$50,$0.45,0,0,0
CUST0092,Monthly,03-23-2016,03-24-2016,09-01-2025,113,08-05-2025,Plus,$195,$1.73,0,0,0
CUST0093,Annually,02-23-2016,02-24-2016,09-01-2025,114,08-05-2025,Standard,$131,$1.15,0,0,0
CUST0094,Annually,12-09-2018,12-10-2018,09-01-2025,80,08-05-2025,Standard,$60,$0.75,0,0,0
CUST0095,Monthly,03-21-2016,03-22-2016,09-01-2025,113,08-05-2025,Standard,$33,$0.29,0,0,0
CUST0096,Monthly,06-10-2016,06-11-2016,09-01-2025,110,08-05-2025,Plus,$243,$2.21,0,0,0
CUST0097,Annually,04-05-2016,04-06-2016,09-01-2025,112,08-06-2025,Plus,$417,$3.72,0,0,0
CUST0098,Monthly,04-19-2016,04-20-2016,09-01-2025,112,08-05-2025,Standard,$65,$0.58,0,0,0
CUST0099,Monthly,12-07-2018,12-08-2018,09-01-2025,80,08-05-2025,Standard,$505,$6.31,0,0,0
CUST0100,Monthly,06-08-2016,06-09-2016,09-01-2025,110,08-05-2025,Plus,$163,$1.48,0,0,0
